ref_ra,ref_dec,local_rms
26.204926,-30.174562,7.920279E-4
23.854437,-28.331472,8.5202005E-4
26.26572,-31.688965,8.1139477E-4
24.008528,-30.139658,7.8477897E-4
26.670242,-30.633347,7.702012E-4
24.793165,-28.437729,7.74524E-4
23.486053,-30.778896,8.053798E-4
25.514746,-30.033922,7.9364405E-4
25.365742,-30.528463,7.918789E-4
24.68722,-29.990143,7.975384E-4
26.102154,-28.334219,8.1027084E-4
25.481503,-28.548326,7.67357E-4
25.576628,-30.938395,8.800775E-4
23.31242,-30.733967,7.813092E-4
25.869959,-28.363935,7.7707175E-4
24.564121,-29.595955,7.6586043E-4
26.338366,-29.27519,7.754014E-4
26.628784,-28.276339,8.516455E-4
23.823412,-28.25921,8.117646E-4
23.644987,-29.680113,8.0245285E-4
24.049566,-28.622145,8.7670644E-4
26.36521,-28.640514,7.916219E-4
25.266846,-29.17098,8.7922195E-4
23.848331,-30.297007,7.5933716E-4
23.522171,-30.196562,7.729542E-4
25.941114,-29.138155,7.964576E-4
23.939877,-29.534962,7.6873E-4
25.36818,-29.399332,9.0845744E-4
24.130844,-28.447756,8.488656E-4
26.5499,-30.278652,7.803985E-4
25.252361,-30.279045,7.7701383E-4
24.447218,-31.420076,8.4223016E-4
25.152758,-28.820831,7.962951E-4
25.83373,-29.42867,8.7541214E-4
26.367853,-29.976204,7.7506213E-4
24.44853,-30.191143,7.787876E-4
25.077232,-29.034681,8.2298665E-4
26.611565,-28.971367,8.1796787E-4
25.012024,-31.548891,8.4017566E-4
26.072765,-31.50709,7.997659E-4
26.511688,-31.08471,8.3587185E-4
25.196953,-30.87828,7.783834E-4
26.296886,-28.440527,8.1330474E-4
24.482903,-30.541016,8.053894E-4
26.44459,-29.065166,7.869731E-4
24.044138,-28.32144,8.3912804E-4
25.66455,-29.068855,7.868255E-4
23.943745,-31.149574,8.0495316E-4
24.88924,-31.332487,7.9963624E-4
24.015436,-30.91145,7.847166E-4
25.1323,-29.527973,8.7392895E-4
25.044643,-29.827965,8.423095E-4
25.295113,-30.325605,7.734739E-4
25.8961,-30.988178,8.3646266E-4
23.468136,-28.726217,8.0425316E-4
26.333496,-29.280924,7.760602E-4
24.222538,-29.400953,7.394887E-4
25.72259,-30.9147,8.8467856E-4
23.66113,-31.108694,8.217176E-4
23.786377,-29.25446,7.859754E-4
25.323322,-29.344347,8.9283887E-4
23.605791,-30.966936,8.089852E-4
25.020151,-29.778034,8.510719E-4
26.130484,-31.531267,8.1559183E-4
24.210583,-31.638964,7.894054E-4
24.77597,-29.91501,7.913152E-4
24.940052,-30.66341,7.9717464E-4
24.002636,-30.611185,7.3039136E-4
23.967619,-31.61586,7.902085E-4
25.80019,-29.97236,8.035314E-4
24.477587,-30.339767,8.0110785E-4
